config_id,fold,hidden_size,num_layers,dropout,learning_rate,batch_size,val_mse,val_rmse,n_epochs,wall_time_sec
13,0,128,1,0.0,0.0007486931122086518,256,1717.6814086858092,41.44492017950824,50,20.851413249969482
13,1,128,1,0.0,0.0007486931122086518,256,1716.8858730370334,41.43532156309437,50,21.192731142044067
13,2,128,1,0.0,0.0007486931122086518,256,1716.8706510983309,41.435137879562205,50,20.71761703491211
13,3,128,1,0.0,0.0007486931122086518,256,1718.1199720470183,41.450210759983094,50,20.51046133041382
13,4,128,1,0.0,0.0007486931122086518,256,1716.9195107614235,41.435727467505906,50,20.849947214126587
14,0,256,1,0.0,0.0025149549152136508,64,193.86740180255623,13.923627465662683,50,57.921607971191406
14,1,256,1,0.0,0.0025149549152136508,64,155.3013419508661,12.461995905586956,50,60.86281895637512
14,2,256,1,0.0,0.0025149549152136508,64,1717.0397941390145,41.43717888731102,12,15.100281238555908
14,3,256,1,0.0,0.0025149549152136508,64,180.40177328302227,13.431372725191654,30,35.844380140304565
14,4,256,1,0.0,0.0025149549152136508,64,182.93709985564402,13.525424202428699,50,58.716986656188965
15,0,256,1,0.0,0.004069384391668902,512,1717.6729282412382,41.444817869562876,16,8.786850452423096
15,1,256,1,0.0,0.004069384391668902,512,1716.8773004354493,41.435218117387166,30,15.734105110168457
15,2,256,1,0.0,0.004069384391668902,512,1716.8612110314432,41.43502396561927,17,8.964044332504272
15,3,256,1,0.0,0.004069384391668902,512,1718.1105898795872,41.450097585887384,16,8.53623104095459
15,4,256,1,0.0,0.004069384391668902,512,1716.9096790406336,41.435608829129485,16,8.344483375549316
16,0,64,2,0.14416405196512205,0.0023173466689007474,256,1717.6717158216559,41.44480324264619,36,13.390143632888794
16,1,64,2,0.14416405196512205,0.0023173466689007474,256,1716.876861194815,41.43521281705713,36,13.575170993804932
16,2,64,2,0.14416405196512205,0.0023173466689007474,256,1716.860467649522,41.43501499516468,39,15.043350219726562
16,3,64,2,0.14416405196512205,0.0023173466689007474,256,1718.1099277881308,41.450089599277476,40,14.987065076828003
16,4,64,2,0.14416405196512205,0.0023173466689007474,256,1716.908788704621,41.43559808551846,49,18.089767932891846
17,0,256,1,0.0,0.00010344858139522896,64,233.698303396305,15.287194098208637,50,55.36888933181763
17,1,256,1,0.0,0.00010344858139522896,64,193.29896679603885,13.903199876145019,50,54.05741214752197
17,2,256,1,0.0,0.00010344858139522896,64,190.47321207655497,13.801203283647226,50,55.44110321998596
17,3,256,1,0.0,0.00010344858139522896,64,192.8117717797603,13.885667855013683,50,54.73751139640808
17,4,256,1,0.0,0.00010344858139522896,64,230.41007787002863,15.179264734170381,50,54.769819021224976
18,0,256,2,0.33242542829601607,0.002572354133406629,128,1717.6717377618495,41.444803507337916,33,45.079593658447266
18,1,256,2,0.33242542829601607,0.002572354133406629,128,1716.8770097146273,41.435214609250274,13,18.028276205062866
18,2,256,2,0.33242542829601607,0.002572354133406629,128,1716.8603030251518,41.43501300862776,16,22.131075143814087
18,3,256,2,0.33242542829601607,0.002572354133406629,128,1718.112508959289,41.45012073515937,14,19.42009711265564
18,4,256,2,0.33242542829601607,0.002572354133406629,128,1716.9091910948953,41.43560294112896,15,20.72391676902771
19,0,128,2,0.28437059797644687,0.00019036802148316657,128,1717.6730685017624,41.44481956169869,50,37.266459941864014
19,1,128,2,0.28437059797644687,0.00019036802148316657,128,1716.8815297272247,41.43526915234442,50,36.941614866256714
19,2,128,2,0.28437059797644687,0.00019036802148316657,128,1716.8628256252148,41.43504344905668,50,36.93867540359497
19,3,128,2,0.28437059797644687,0.00019036802148316657,128,1718.1103067660551,41.45009417077427,50,37.02475929260254
19,4,128,2,0.28437059797644687,0.00019036802148316657,128,1716.914927672641,41.43567216388122,50,36.99424409866333
20,0,32,1,0.0,0.002171730464570452,256,1717.6846616553473,41.44495942397999,50,16.525270700454712
20,1,32,1,0.0,0.002171730464570452,256,1716.8892189826213,41.435361938598064,50,15.835006475448608
20,2,32,1,0.0,0.002171730464570452,256,1716.873886325083,41.435176919196124,50,16.107763051986694
20,3,32,1,0.0,0.002171730464570452,256,1718.122514693234,41.45024143106086,50,16.564796924591064
20,4,32,1,0.0,0.002171730464570452,256,1716.9212621321003,41.43574860108238,50,15.734781742095947
21,0,256,1,0.0,0.0033884237321586278,256,1717.6741673024844,41.44483281788557,15,9.13991093635559
21,1,256,1,0.0,0.0033884237321586278,256,197.42509878528156,14.050804204218403,50,30.75167155265808
21,2,256,1,0.0,0.0033884237321586278,256,189.21264840149846,13.755458858267813,50,30.13689398765564
21,3,256,1,0.0,0.0033884237321586278,256,219.26433131366696,14.807576821130018,50,29.93580651283264
21,4,256,1,0.0,0.0033884237321586278,256,1716.910604717204,41.43561999918915,23,13.788788795471191
22,0,128,2,0.2767897003289979,0.0013134523488159875,512,1717.6717908212975,41.444804147459756,50,31.47318458557129
22,1,128,2,0.2767897003289979,0.0013134523488159875,512,1716.8768890422798,41.43521315309334,50,31.261355876922607
22,2,128,2,0.2767897003289979,0.0013134523488159875,512,1716.8604040141506,41.435014227271004,50,31.55307626724243
22,3,128,2,0.2767897003289979,0.0013134523488159875,512,1718.1098162449828,41.45008825376591,50,31.436227560043335
22,4,128,2,0.2767897003289979,0.0013134523488159875,512,1716.9088121904347,41.43559836891987,50,31.325951099395752
23,0,128,1,0.0,0.0007471964132012038,64,184.69711266663685,13.59033158781039,50,40.949392795562744
23,1,128,1,0.0,0.0007471964132012038,64,164.34222795239185,12.819603268135557,50,40.95348024368286
23,2,128,1,0.0,0.0007471964132012038,64,148.79462381573484,12.198140178557338,50,40.20888352394104
23,3,128,1,0.0,0.0007471964132012038,64,168.30058154709843,12.97307139990752,47,37.480427742004395
23,4,128,1,0.0,0.0007471964132012038,64,210.8115996114169,14.519352589265711,41,33.054166316986084
24,0,32,2,0.20426432186231808,0.005091035747757643,64,1717.677342361947,41.444871122515835,16,14.437183380126953
24,1,32,2,0.20426432186231808,0.005091035747757643,64,1716.8841883213324,41.43530123362605,28,25.613017082214355
24,2,32,2,0.20426432186231808,0.005091035747757643,64,1716.864386872638,41.43506228875055,17,15.494939804077148
24,3,32,2,0.20426432186231808,0.005091035747757643,64,1718.1157419187214,41.4501597333318,18,16.866541624069214
24,4,32,2,0.20426432186231808,0.005091035747757643,64,1716.909303379452,41.43560429605742,17,15.390804290771484
25,0,256,1,0.0,0.0003653993614279478,64,201.59673825757648,14.198476617495853,50,53.616710901260376
25,1,256,1,0.0,0.0003653993614279478,64,137.2950242497317,11.717295944446043,50,53.77708554267883
25,2,256,1,0.0,0.0003653993614279478,64,149.04196438110043,12.208274422747076,50,53.88920331001282
25,3,256,1,0.0,0.0003653993614279478,64,174.81362128826456,13.22171022554437,50,53.74111366271973
25,4,256,1,0.0,0.0003653993614279478,64,211.82937143005148,14.55435918994895,50,54.12736415863037
26,0,64,2,0.33095825736344753,0.0013003621044997617,256,1717.6717155977763,41.44480323994525,50,17.629748582839966
26,1,64,2,0.33095825736344753,0.0013003621044997617,256,1716.8767538310954,41.435211521495766,50,18.424947023391724
26,2,64,2,0.33095825736344753,0.0013003621044997617,256,1716.8606045382644,41.43501664701324,50,17.614773750305176
26,3,64,2,0.33095825736344753,0.0013003621044997617,256,1718.1098659690367,41.450088853572275,50,18.518205165863037
26,4,64,2,0.33095825736344753,0.0013003621044997617,256,1716.908744193412,41.43559754840531,50,17.911149501800537
27,0,256,2,0.20319343072003526,0.004246594269178858,256,1717.6718514926497,41.44480487941341,14,16.559606075286865
27,1,256,2,0.20319343072003526,0.004246594269178858,256,1716.8771667340673,41.43521650400861,18,21.45545744895935
27,2,256,2,0.20319343072003526,0.004246594269178858,256,1716.8605604744046,41.43501611529076,14,16.65227508544922
27,3,256,2,0.20319343072003526,0.004246594269178858,256,1718.1098390911698,41.45008852935262,19,22.39921545982361
27,4,256,2,0.20319343072003526,0.004246594269178858,256,1716.909621668146,41.43560813682051,20,23.59467053413391
28,0,32,1,0.0,0.00011102586009934694,64,3142.485222048193,56.05787386307291,50,39.51819825172424
28,1,32,1,0.0,0.00011102586009934694,64,3143.7173984473416,56.06886300298358,50,40.31746745109558
28,2,32,1,0.0,0.00011102586009934694,64,3143.577335541149,56.067613963331354,50,38.86815857887268
28,3,32,1,0.0,0.00011102586009934694,64,3141.9182742617545,56.05281682718322,50,38.76078701019287
28,4,32,1,0.0,0.00011102586009934694,64,3143.6137981056568,56.06793912839723,50,38.90148138999939
29,0,256,1,0.0,0.0008389855104787753,256,1717.6776275844652,41.4448745635026,37,22.30585479736328
29,1,256,1,0.0,0.0008389855104787753,256,188.95299550474536,13.746017441599053,50,30.75848889350891
29,2,256,1,0.0,0.0008389855104787753,256,1698.9898167748654,41.218804164784615,50,30.099246501922607
29,3,256,1,0.0,0.0008389855104787753,256,175.83585970992343,13.260311448451104,50,30.310144662857056
29,4,256,1,0.0,0.0008389855104787753,256,1556.253285106147,39.449376232155394,50,30.274682760238647
