config_id,fold,hidden_size,num_layers,dropout,learning_rate,batch_size,val_mse,val_rmse,n_epochs,wall_time_sec
5,1,32,1,0.0,0.0001341635410168892,256,3966.9390844160043,62.98364140327236,50,35.135186195373535
5,2,32,1,0.0,0.0001341635410168892,256,3967.38918070444,62.98721442248768,50,35.31241703033447
5,3,32,1,0.0,0.0001341635410168892,256,3967.0729782893604,62.98470432009156,50,34.91800379753113
5,4,32,1,0.0,0.0001341635410168892,256,3966.6707900142756,62.98151149356671,50,35.40514373779297
6,0,256,2,0.3158321995610324,0.00328227889435858,256,1750.376603374245,41.83750235583196,12,24.050994396209717
6,1,256,2,0.3158321995610324,0.00328227889435858,256,1751.029114788764,41.84529979327145,27,52.236462116241455
6,2,256,2,0.3158321995610324,0.00328227889435858,256,1750.5411922863063,41.83946931171936,25,48.92709422111511
6,3,256,2,0.3158321995610324,0.00328227889435858,256,1750.3892347110216,41.83765331266826,23,44.65575981140137
6,4,256,2,0.3158321995610324,0.00328227889435858,256,1750.9202481295142,41.84399895002286,14,27.25766944885254
7,0,32,1,0.0,0.0061128289383324905,512,336.96062573452156,18.356487292903335,50,25.788110971450806
7,1,32,1,0.0,0.0061128289383324905,512,264.85790571821065,16.274455619719223,50,26.33285117149353
7,2,32,1,0.0,0.0061128289383324905,512,324.96716326368323,18.026845627110784,50,26.394180059432983
7,3,32,1,0.0,0.0061128289383324905,512,296.7196557571872,17.22555240789645,50,26.048117637634277
7,4,32,1,0.0,0.0061128289383324905,512,358.98026607158965,18.94677455588654,50,26.463040351867676
8,0,256,2,0.09731935392598379,0.0008579105479001713,128,317.85334061214184,17.82844190085443,31,72.80811071395874
8,1,256,2,0.09731935392598379,0.0008579105479001713,128,243.72855341477225,15.611808140467659,46,106.9838855266571
8,2,256,2,0.09731935392598379,0.0008579105479001713,128,286.0141973249374,16.911954272789924,36,83.74701142311096
8,3,256,2,0.09731935392598379,0.0008579105479001713,128,279.5674559398364,16.720270809404866,45,104.06292462348938
8,4,256,2,0.09731935392598379,0.0008579105479001713,128,347.46296821291753,18.640358585953155,47,108.70626187324524
9,0,128,1,0.0,0.002323260488552255,64,326.1742058874361,18.060293626833314,23,41.053011894226074
9,1,128,1,0.0,0.002323260488552255,64,267.21126013248625,16.346597815217887,20,35.45550990104675
9,2,128,1,0.0,0.002323260488552255,64,291.8281076206651,17.082977129899376,27,48.13415479660034
9,3,128,1,0.0,0.002323260488552255,64,285.61939028433756,16.900277816779745,37,66.06080031394958
9,4,128,1,0.0,0.002323260488552255,64,352.5961634273742,18.77754412662567,20,35.844717025756836
10,0,128,2,0.483754866217105,0.0004483846290786353,512,1750.3763183143813,41.83749894908133,50,58.38705039024353
10,1,128,2,0.483754866217105,0.0004483846290786353,512,1751.0295404403525,41.84530487928547,50,57.794480323791504
10,2,128,2,0.483754866217105,0.0004483846290786353,512,1750.5408222626247,41.83946488977392,50,58.003673791885376
10,3,128,2,0.483754866217105,0.0004483846290786353,512,1750.3885656682028,41.83764531696547,50,58.4239821434021
10,4,128,2,0.483754866217105,0.0004483846290786353,512,1750.9179140741055,41.84397106004765,50,57.89804291725159
11,0,32,1,0.0,0.0002393000107750474,128,472.17170339291226,21.72951226771812,50,51.40992498397827
11,1,32,1,0.0,0.0002393000107750474,128,383.5580289997218,19.58463757641999,50,51.086639642715454
11,2,32,1,0.0,0.0002393000107750474,128,416.41080679671313,20.406146299502833,50,50.906333923339844
11,3,32,1,0.0,0.0002393000107750474,128,431.65084604008405,20.776208654133313,50,50.99450731277466
11,4,32,1,0.0,0.0002393000107750474,128,471.3922951759563,21.711570536834877,50,51.39918303489685
12,0,32,1,0.0,0.0008941489120323654,128,323.55530168852226,17.987643027604317,42,43.14607810974121
12,1,32,1,0.0,0.0008941489120323654,128,262.44632622541286,16.20019525269411,46,47.03537845611572
12,2,32,1,0.0,0.0008941489120323654,128,288.1465277474047,16.974879314663912,49,49.800370931625366
12,3,32,1,0.0,0.0008941489120323654,128,285.14929272660953,16.88636410618371,45,45.980011224746704
12,4,32,1,0.0,0.0008941489120323654,128,347.34025773322065,18.63706676849178,44,45.6180374622345
13,0,128,1,0.0,0.0007486931122086518,256,333.7725057546273,18.26944185668044,45,36.66144275665283
13,1,128,1,0.0,0.0007486931122086518,256,269.3124427791502,16.41074168888019,50,39.96896982192993
13,2,128,1,0.0,0.0007486931122086518,256,298.6806736744433,17.282380440044808,50,40.581693172454834
13,3,128,1,0.0,0.0007486931122086518,256,296.50402168746615,17.219292136654925,50,39.80954885482788
13,4,128,1,0.0,0.0007486931122086518,256,350.4923988997283,18.72144222274898,49,39.09559941291809
14,0,256,1,0.0,0.0025149549152136508,64,317.8826882784279,17.829264939375037,37,81.85232925415039
14,1,256,1,0.0,0.0025149549152136508,64,272.9358066941441,16.520768949844438,28,62.44234371185303
14,2,256,1,0.0,0.0025149549152136508,64,292.0077004177291,17.088232805580837,50,111.33204770088196
14,3,256,1,0.0,0.0025149549152136508,64,291.5049357526069,17.073515623696455,32,71.51274871826172
14,4,256,1,0.0,0.0025149549152136508,64,344.0468990945166,18.5485012627575,32,69.34061598777771
15,0,256,1,0.0,0.004069384391668902,512,342.9115380554418,18.517870775427767,50,46.65320110321045
15,1,256,1,0.0,0.004069384391668902,512,1751.029614725534,41.84530576690214,19,17.540531873703003
15,2,256,1,0.0,0.004069384391668902,512,1750.5414162006368,41.83947198759369,13,12.011828184127808
15,3,256,1,0.0,0.004069384391668902,512,1750.3902755776369,41.83766575201868,35,32.436373710632324
15,4,256,1,0.0,0.004069384391668902,512,1750.9183647875634,41.84397644569124,22,20.756205797195435
16,0,64,2,0.14416405196512205,0.0023173466689007474,256,1750.3761561872088,41.83749701149925,26,20.918696403503418
16,1,64,2,0.14416405196512205,0.0023173466689007474,256,1751.0292430995319,41.8453013264277,25,20.85814332962036
16,2,64,2,0.14416405196512205,0.0023173466689007474,256,1750.5410325260816,41.8394674025146,25,20.461997509002686
16,3,64,2,0.14416405196512205,0.0023173466689007474,256,1750.388463061636,41.83764409071854,20,15.9068603515625
16,4,64,2,0.14416405196512205,0.0023173466689007474,256,1750.9180901074749,41.84397316349721,22,17.78608226776123
17,0,256,1,0.0,0.00010344858139522896,64,343.75836293031193,18.540721747826105,50,119.19535207748413
17,1,256,1,0.0,0.00010344858139522896,64,279.44248614112394,16.71653331708234,48,105.34498286247253
17,2,256,1,0.0,0.00010344858139522896,64,304.6280302257704,17.45359648398491,50,111.17920422554016
17,3,256,1,0.0,0.00010344858139522896,64,292.500549025372,17.102647427383047,48,105.16975688934326
17,4,256,1,0.0,0.00010344858139522896,64,362.97143046497604,19.051809112653213,41,90.23387718200684
18,0,256,2,0.33242542829601607,0.002572354133406629,128,1750.4171700624552,41.837987165522854,12,26.587368965148926
18,1,256,2,0.33242542829601607,0.002572354133406629,128,1751.0391576450606,41.84541979291235,12,26.488774299621582
18,2,256,2,0.33242542829601607,0.002572354133406629,128,1750.552538812484,41.83960490746159,14,30.689391613006592
18,3,256,2,0.33242542829601607,0.002572354133406629,128,1750.3884861131112,41.837644366205794,13,28.810653924942017
18,4,256,2,0.33242542829601607,0.002572354133406629,128,1750.9198396360516,41.84399406887506,19,41.72684168815613
19,0,128,2,0.28437059797644687,0.00019036802148316657,128,353.1342801433558,18.79186739372529,50,68.4477756023407
19,1,128,2,0.28437059797644687,0.00019036802148316657,128,274.5425657200625,16.569326049060127,50,67.92948508262634
19,2,128,2,0.28437059797644687,0.00019036802148316657,128,312.7531088142961,17.68482707900465,50,68.5784981250763
19,3,128,2,0.28437059797644687,0.00019036802148316657,128,313.8761312364616,17.716549642536542,50,68.17167735099792
19,4,128,2,0.28437059797644687,0.00019036802148316657,128,372.53571385666066,19.301184260471185,50,68.50922584533691
20,0,32,1,0.0,0.002171730464570452,256,329.21229592279656,18.144208330009786,42,28.79684042930603
20,1,32,1,0.0,0.002171730464570452,256,266.4780116034829,16.324154238535083,43,30.20150923728943
20,2,32,1,0.0,0.002171730464570452,256,287.7057413735026,16.96189085489889,50,34.147770404815674
20,3,32,1,0.0,0.002171730464570452,256,281.5872576735536,16.78056189981592,48,33.053465604782104
